Restaurant_Name,City,Restaurant_Type,Cuisines,Cost_for_two,Rating_out_of_5,Customer_rated,Service_Category,Online_Order,Book_Table
Zaitoon Lassi Cafe,Jayanagar,Quick Bites,"Cafe, Burger, Sandwich, Beverages",150.0,3.7,0,Delivery,Yes,No
Laziz Pizza,Jayanagar,Quick Bites,"Fast Food, Burger, Pizza",400.0,3.8,42,Delivery,Yes,No
Coffee Tindi,Jayanagar,"Cafe, Quick Bites","Cafe, South Indian",200.0,3.8,75,Delivery,Yes,No
Quench The Juice Lounge,Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,3.6,18,Delivery,Yes,No
New South Corner,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,3.7,20,Delivery,Yes,No
Cafe Noir,Jayanagar,Casual Dining,"European, French, Salad",1500.0,3.7,0,Delivery,Yes,No
Euki,Jayanagar,Casual Dining,"Italian, Mexican",900.0,4.1,553,Delivery,Yes,Yes
Chicken Man,Jayanagar,Quick Bites,"Roast Chicken, Burger",400.0,3.8,72,Delivery,Yes,Yes
Sharma Ji Chaats And Desi khana,Jayanagar,Quick Bites,"North Indian, Street Food",200.0,3.8,0,Delivery,No,No
The Grillo,Jayanagar,Casual Dining,"North Indian, Mughlai, Chinese, South Indian, Mangalorean",700.0,2.8,80,Delivery,Yes,Yes
PK Dhaba,Jayanagar,Dhaba,"North Indian, Fast Food, Beverages",250.0,3.7,0,Delivery,Yes,No
Mini Punjabi Dhaba,Jayanagar,Quick Bites,North Indian,350.0,4.2,296,Delivery,Yes,No
SSV Upahar,Jayanagar,Quick Bites,"South Indian, Chinese",300.0,4.0,0,Delivery,Yes,No
Kalpavriksha Upahara,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0,3.9,126,Delivery,Yes,No
Daawat Restaurant Bar & Pub,Jayanagar,"Bar, Casual Dining","Finger Food, North Indian, Seafood, Mangalorean, Chinese",700.0,3.5,9,Delivery,Yes,No
Bistro Oui,Jayanagar,"Cafe, Bar","Cafe, Continental, Salad, Steak",1200.0,4.1,401,Delivery,Yes,Yes
Churchill's,Jayanagar,"Casual Dining, Pub","North Indian, Continental",1100.0,4.1,1406,Delivery,Yes,Yes
The Jade Kitchen,Jayanagar,Casual Dining,"Chinese, Thai",600.0,4.0,118,Delivery,Yes,No
Anand Donne Biriyani,Jayanagar,Quick Bites,Biryani,200.0,3.7,46,Delivery,Yes,No
Andhra Ruchulu,Jayanagar,Casual Dining,"Andhra, North Indian",800.0,4.2,1432,Delivery,Yes,Yes
Shree Udupi Grand,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese",600.0,3.8,14,Delivery,Yes,No
BelgYum,Jayanagar,Dessert Parlor,Desserts,400.0,4.0,70,Delivery,Yes,No
Juice Junction,Jayanagar,Beverage Shop,"Juices, Fast Food",150.0,2.8,20,Delivery,Yes,No
Burger Lounge,Jayanagar,Quick Bites,"Burger, Fast Food, Beverages",600.0,3.6,74,Delivery,Yes,No
Vidya Cafe,Jayanagar,Quick Bites,"Burger, Fast Food, Desserts, Sandwich",300.0,3.2,4,Delivery,Yes,No
Mani's Dum Biryani,Jayanagar,Casual Dining,"Biryani, Kebab",750.0,3.9,778,Delivery,Yes,No
Davanagere Benne Dose Hut,Jayanagar,Quick Bites,South Indian,100.0,3.4,10,Delivery,Yes,No
Rajanna Military Hotel,Jayanagar,Quick Bites,"Biryani, Fast Food",400.0,4.1,167,Delivery,Yes,No
PHEW (Play Hard Eat Wild),Jayanagar,Cafe,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700.0,3.9,488,Delivery,Yes,Yes
Uday Sweets,Jayanagar,Sweet Shop,"Mithai, Fast Food",250.0,3.8,33,Delivery,Yes,No
New Royal Treat,Jayanagar,Quick Bites,"North Indian, Chinese",350.0,2.8,102,Delivery,Yes,No
Hum Biryani,Jayanagar,Delivery,"Biryani, North Indian",600.0,3.4,17,Delivery,Yes,No
New Punjabi Hotel,Jayanagar,Quick Bites,"North Indian, Chinese",400.0,3.7,179,Delivery,Yes,No
Taj Durbar,Jayanagar,Quick Bites,"North Indian, BBQ",400.0,3.8,83,Delivery,No,No
TRIGEREATO,Jayanagar,Cafe,"Cafe, Continental, Beverages",700.0,4.4,100,Delivery,Yes,Yes
Shuddh Desi Khana,Jayanagar,Quick Bites,North Indian,400.0,4.1,600,Delivery,Yes,No
Baisakhi,Jayanagar,Casual Dining,North Indian,500.0,3.8,528,Delivery,Yes,No
7 Plates,Jayanagar,Casual Dining,"Mughlai, Fast Food",750.0,3.7,259,Delivery,Yes,No
Eatery Have U Been,Jayanagar,"Cafe, Quick Bites","Cafe, Chinese, Fast Food, Burger, North Indian",500.0,3.4,35,Delivery,Yes,No
Haagen Dazs,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",800.0,3.9,77,Delivery,Yes,No
The Blue Wagon - Kitchen,Jayanagar,Cafe,"Cafe, Beverages",400.0,4.6,233,Delivery,Yes,No
Amritsari Kulcha Land,Jayanagar,Quick Bites,North Indian,300.0,4.0,260,Delivery,Yes,No
Nammura Donne Biryani,Jayanagar,Quick Bites,"Andhra, Biryani",300.0,3.2,0,Delivery,Yes,No
Tasty Jigarthanda,Jayanagar,Beverage Shop,"Beverages, Ice Cream",150.0,3.4,11,Delivery,Yes,No
Ivy,Jayanagar,Casual Dining,"North Indian, Chinese, Fast Food",600.0,3.8,210,Delivery,Yes,No
1947,Jayanagar,Casual Dining,"North Indian, Chinese",950.0,4.1,2312,Delivery,No,Yes
Sri Krishna Darshini,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",200.0,3.1,4,Delivery,Yes,No
Biriyani Bhatti,Jayanagar,Quick Bites,"Chinese, Hyderabadi, North Indian",400.0,3.7,21,Delivery,Yes,No
Lot Like Crepes,Jayanagar,"Cafe, Dessert Parlor","Cafe, Desserts, Continental",550.0,4.6,1024,Delivery,Yes,No
Chefie,Jayanagar,"Takeaway, Delivery","Continental, Fast Food, Italian, North Indian",200.0,3.5,15,Delivery,Yes,No
New Friends,Jayanagar,Casual Dining,"North Indian, Continental, Chinese, Steak",900.0,3.8,273,Delivery,Yes,No
Flavour of Himalaya,Jayanagar,Quick Bites,Asian,500.0,3.7,24,Delivery,Yes,No
Funky Punjab,Jayanagar,Quick Bites,"North Indian, Chinese",400.0,3.8,125,Delivery,Yes,No
Harry's Bar + Cafe,Jayanagar,"Casual Dining, Bar","Asian, American, Mexican",1400.0,4.2,1368,Delivery,Yes,Yes
Gyani Da Punjabi Dhaba,Jayanagar,Quick Bites,"North Indian, Chinese",500.0,3.9,1189,Delivery,Yes,No
Favourite Restaurant,Jayanagar,"Takeaway, Delivery",Fast Food,300.0,3.0,0,Delivery,Yes,No
Gowdru Mane Oota,Jayanagar,Quick Bites,"South Indian, Andhra",400.0,3.7,83,Delivery,Yes,No
Kinpeetos,Jayanagar,Quick Bites,"Lebanese, Greek",300.0,3.9,64,Delivery,Yes,No
Bhaijaan Barbeques,Jayanagar,Food Truck,"Mughlai, Arabian, BBQ",200.0,3.5,9,Delivery,Yes,No
Hotel Parampare,Jayanagar,Casual Dining,"North Indian, Mughlai, Biryani",600.0,2.9,13,Delivery,Yes,No
Rajastani Rasoi,Jayanagar,Quick Bites,North Indian,100.0,3.2,5,Delivery,Yes,No
Hyderabad Biryaani House,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Hyderabadi",750.0,4.1,1114,Delivery,Yes,No
Yummerica Fries,Jayanagar,Quick Bites,"Fast Food, Beverages",300.0,3.3,16,Delivery,No,No
Cakeport,Jayanagar,Bakery,Bakery,400.0,3.7,0,Delivery,Yes,No
Caramel Shake,Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream",200.0,3.6,0,Delivery,Yes,No
FNP Cakes N More,Jayanagar,Delivery,Bakery,700.0,3.6,0,Delivery,Yes,No
Birinz,Jayanagar,Casual Dining,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700.0,4.1,295,Delivery,Yes,No
Sahana's (Nati Style),Jayanagar,Quick Bites,North Indian,350.0,3.7,47,Delivery,Yes,No
Srikrishna Bhavan,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,3.8,42,Delivery,Yes,No
De Thaali,Jayanagar,Casual Dining,"North Indian, Chinese",550.0,3.9,144,Delivery,Yes,No
Arya Hungry?,Jayanagar,Quick Bites,North Indian,450.0,4.3,278,Delivery,Yes,No
Ice Land,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",300.0,3.6,34,Delivery,Yes,No
Freeze It,Jayanagar,Dessert Parlor,Ice Cream,300.0,3.6,6,Delivery,Yes,No
Ice Stone Creamery,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",400.0,3.7,42,Delivery,Yes,No
D View Cafe,Jayanagar,"Cafe, Quick Bites","Cafe, Italian, Chinese, Beverages",1000.0,4.0,510,Delivery,Yes,No
The Chaat Shop,Jayanagar,Quick Bites,Street Food,100.0,3.2,9,Delivery,No,No
Joon Restaurant,Jayanagar,Quick Bites,"Arabian, Chinese, North Indian, Kerala, Juices",400.0,3.7,31,Delivery,Yes,No
Ross Kitchen,Jayanagar,Delivery,Chinese,400.0,3.6,24,Delivery,Yes,No
The Trundle,Jayanagar,Casual Dining,"Chinese, Thai, Continental, North Indian",700.0,3.7,133,Delivery,Yes,No
UBQ By Barbeque Nation,Jayanagar,Delivery,"North Indian, BBQ, Biryani, Kebab",450.0,3.5,9,Delivery,Yes,No
Veruthe Oru Thattukada,Jayanagar,Quick Bites,"Kerala, South Indian",400.0,3.7,27,Delivery,Yes,No
Nandhini Deluxe,Jayanagar,Casual Dining,North Indian,600.0,3.5,335,Delivery,No,No
Rajdhani Thali Restaurant,Jayanagar,Casual Dining,North Indian,900.0,3.9,887,Delivery,Yes,Yes
Kadala Tarangaa,Jayanagar,Casual Dining,"Mangalorean, Seafood, North Indian",600.0,3.6,130,Delivery,Yes,No
Mezban Family Restaurant,Jayanagar,Quick Bites,"Chinese, North Indian",300.0,3.45,0,Delivery,Yes,No
Mycakeshop,Jayanagar,Bakery,"Bakery, Desserts",300.0,3.9,0,Delivery,Yes,No
Tasty Magic,Jayanagar,Casual Dining,"Chinese, North Indian",600.0,2.7,73,Delivery,Yes,No
Authentic Aandhra,Jayanagar,Delivery,"Andhra, North Indian",300.0,3.7,0,Delivery,Yes,No
Basmati Delights,Jayanagar,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab",500.0,4.0,869,Delivery,Yes,No
Cucumber Town,Jayanagar,Delivery,"Kerala, North Indian",600.0,4.2,310,Delivery,Yes,No
Karavali Kolimane,Jayanagar,Quick Bites,"Mangalorean, Chinese, North Indian",350.0,3.7,28,Delivery,Yes,No
Once In Nature,Jayanagar,Quick Bites,Healthy Food,300.0,3.7,37,Delivery,Yes,No
Durga Sagar,Jayanagar,Quick Bites,South Indian,150.0,3.4,8,Delivery,Yes,No
Tree Top,Jayanagar,Casual Dining,"Continental, Chinese, North Indian, South Indian",1000.0,3.8,75,Delivery,Yes,No
Jayanagara Donne Biryani,Jayanagar,Quick Bites,"Biryani, South Indian",400.0,3.6,60,Delivery,Yes,No
Tandoori,Jayanagar,Quick Bites,"North Indian, Rolls",300.0,3.7,0,Delivery,Yes,No
Cafe Aira,Jayanagar,Cafe,"Cafe, Continental, Beverages, Desserts",500.0,4.1,216,Delivery,Yes,No
Gramin,Jayanagar,Casual Dining,North Indian,600.0,4.3,3451,Delivery,Yes,No
Foodizo,Jayanagar,Quick Bites,"Desserts, Fast Food, Continental",300.0,3.6,24,Delivery,Yes,No
Amande Patisserie,Jayanagar,Bakery,"Bakery, French, Desserts",300.0,4.0,73,Delivery,Yes,No
A Hole Lotta Love Cafe,Jayanagar,Cafe,"Cafe, American, Burger, Sandwich, Beverages",600.0,4.4,2862,Delivery,Yes,No
Salt - Indian Restaurant Bar & Grill,Jayanagar,Casual Dining,"North Indian, Mughlai, Biryani",1500.0,4.4,677,Delivery,Yes,Yes
Mangalore Pearl,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,3.8,244,Delivery,Yes,No
Karma Kaapi,Jayanagar,Beverage Shop,"Beverages, Tea",250.0,4.4,181,Delivery,Yes,No
Al Khaleej Snacks Corner,Jayanagar,Quick Bites,"Lebanese, Fast Food, Beverages",200.0,3.7,0,Delivery,No,No
Anvar Bhai's,Jayanagar,Quick Bites,North Indian,250.0,3.55,0,Delivery,Yes,No
Arabian Bites,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,3.4,24,Delivery,Yes,No
Casa Piccosa,Jayanagar,"Casual Dining, Bar","South American, Continental, Italian",1100.0,4.1,847,Delivery,Yes,Yes
The Krishna Grand,Jayanagar,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",750.0,3.9,892,Delivery,Yes,No
Skinz Ooty Chocolate,Jayanagar,Dessert Parlor,Desserts,200.0,3.9,0,Delivery,Yes,No
Trendz Corner,Jayanagar,Quick Bites,"South Indian, North Indian",200.0,3.6,31,Delivery,No,No
Cafe Terra,Jayanagar,Cafe,"Cafe, Continental",700.0,4.05,0,Delivery,Yes,No
Min Mini Punjabi Dhaba,Jayanagar,Quick Bites,North Indian,400.0,3.9,85,Delivery,Yes,No
Heaven 2 Oven,Jayanagar,Quick Bites,Chinese,300.0,3.8499999999999996,0,Delivery,Yes,No
Bake and Juice,Jayanagar,Quick Bites,Fast Food,400.0,3.5,15,Delivery,Yes,No
Frolic,Jayanagar,Dessert Parlor,"Juices, Ice Cream",200.0,3.9,33,Delivery,Yes,No
Swadesh Tadka,Jayanagar,Casual Dining,"North Indian, Chinese, Beverages",600.0,3.5,179,Delivery,Yes,No
Krazzy Folds,Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages",800.0,4.3,1908,Delivery,Yes,Yes
Knight Ryders,Jayanagar,Delivery,"North Indian, Chinese",400.0,3.4,239,Delivery,Yes,No
Gud Dhani,Jayanagar,Casual Dining,Rajasthani,500.0,4.0,827,Delivery,Yes,No
Sambram Biriyani Paradise,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,3.6,96,Delivery,Yes,No
New Gongura's,Jayanagar,Casual Dining,"Andhra, Biryani, North Indian, Chinese",550.0,3.7,44,Delivery,Yes,No
Green Go,Jayanagar,Beverage Shop,"Beverages, Juices",200.0,3.6,0,Delivery,Yes,No
Malabar Xpress,Jayanagar,Quick Bites,"South Indian, Kerala",300.0,3.7,0,Delivery,Yes,No
Nagarjuna Chimney,Jayanagar,Casual Dining,"Andhra, Biryani",600.0,4.0,923,Delivery,No,No
Sreeraj Lassi Bar,Jayanagar,"Dessert Parlor, Beverage Shop","Beverages, Desserts",150.0,4.1,210,Delivery,Yes,No
Chats Point,Jayanagar,Quick Bites,"Fast Food, Street Food",150.0,3.4,8,Delivery,Yes,No
Food Court,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,3.3499999999999996,0,Delivery,Yes,No
Karavali Grand,Jayanagar,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",600.0,3.7,26,Delivery,Yes,No
Vietnamese Kitchen,Jayanagar,Casual Dining,Vietnamese,700.0,3.6,104,Delivery,Yes,No
Fitnest,Jayanagar,Delivery,"Healthy Food, North Indian",350.0,3.2,16,Delivery,Yes,No
Asia Kitchen By Mainland China,Jayanagar,"Casual Dining, Bar","Asian, Chinese, Thai, Momos",1500.0,4.9,2202,Delivery,Yes,Yes
Rajvardhan Foods,Jayanagar,Quick Bites,"Street Food, Maharashtrian",300.0,3.9,315,Delivery,Yes,No
New Prashanth Hotel,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,3.6,142,Delivery,Yes,No
Zingron,Jayanagar,Casual Dining,"Chinese, Naga",750.0,4.0,511,Delivery,Yes,No
Timepass Dinner,Jayanagar,Casual Dining,North Indian,600.0,3.8,291,Delivery,Yes,No
Aniram's,Jayanagar,Delivery,"Chinese, North Indian",500.0,4.1,740,Delivery,Yes,No
Tentacles,Jayanagar,"Takeaway, Delivery","North Indian, Chinese, Seafood",600.0,3.7,0,Delivery,Yes,No
A Today Thick Shakes,Jayanagar,Beverage Shop,Beverages,200.0,3.2,9,Delivery,No,No
Bombay Kulfis,Jayanagar,Dessert Parlor,Ice Cream,200.0,3.9,28,Delivery,Yes,No
Thamboola,Jayanagar,Casual Dining,"North Indian, Chinese, Continental",800.0,3.8,139,Delivery,Yes,No
Vaathsalya Millet Cafe,Jayanagar,Casual Dining,"Healthy Food, South Indian",500.0,4.1,294,Delivery,Yes,Yes
4th Tea Block,Jayanagar,Cafe,Cafe,150.0,4.0,62,Delivery,No,No
Crunchy Nights,Jayanagar,Delivery,"North Indian, Chinese, Continental",350.0,3.7,28,Delivery,Yes,No
Ugadi,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,2.9,177,Delivery,No,No
Clove Rooftop,Jayanagar,Casual Dining,"Konkan, Seafood",1000.0,3.8,234,Delivery,No,Yes
Gufha - The President Hotel,Jayanagar,Casual Dining,"North Indian, Mughlai, Afghan",1200.0,4.1,1885,Delivery,Yes,Yes
Ascharya Hotel,Jayanagar,Quick Bites,"Mangalorean, South Indian",300.0,3.4,11,Delivery,Yes,No
Chaatimes,Jayanagar,Quick Bites,"Street Food, Fast Food",250.0,4.2,9,Delivery,Yes,No
Momo Time,Jayanagar,Quick Bites,"Momos, American",600.0,3.7,0,Delivery,Yes,No
Kababish Restaurant,Jayanagar,Quick Bites,"North Indian, Chinese, Arabian",700.0,3.6,15,Delivery,Yes,No
Habitts,Jayanagar,Quick Bites,"Fast Food, Burger, Italian, Beverages",350.0,3.7,61,Delivery,Yes,No
Kullukki,Jayanagar,Quick Bites,"Juices, Beverages, Fast Food",400.0,3.5,9,Delivery,Yes,No
Lassi Pot,Jayanagar,Beverage Shop,Beverages,250.0,3.3,4,Delivery,Yes,No
Cafe 221B,Jayanagar,Cafe,"Cafe, Beverages",300.0,3.7,49,Delivery,Yes,Yes
The Cuboidal,Jayanagar,Quick Bites,"Fast Food, Beverages, Sandwich",300.0,3.6,16,Delivery,Yes,No
Desi Rasoi,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani",600.0,3.8,363,Delivery,Yes,Yes
Parathe Wali Gali,Jayanagar,Quick Bites,North Indian,250.0,3.9,36,Delivery,Yes,No
Nellore Ruchulu,Jayanagar,Casual Dining,"North Indian, South Indian, Chinese",800.0,3.7,32,Delivery,Yes,No
Eat Repeat,Jayanagar,Quick Bites,South Indian,150.0,3.9,104,Delivery,Yes,No
Big Bites,Jayanagar,Quick Bites,"Chinese, Fast Food",200.0,3.6,21,Delivery,No,No
Rithika's Kitchen,Jayanagar,Delivery,"Biryani, South Indian, Andhra",350.0,3.8,106,Delivery,Yes,No
Divina - Eden Park Restaurants,Jayanagar,Dessert Parlor,Desserts,400.0,4.0,147,Delivery,No,No
Kapoor's Cafe,Jayanagar,Casual Dining,North Indian,800.0,4.2,160,Delivery,Yes,No
Eatsomnia,Jayanagar,Delivery,"North Indian, South Indian, Chinese, Continental",500.0,3.7,0,Delivery,Yes,No
Chulha Chauki Da Dhaba,Jayanagar,Casual Dining,North Indian,800.0,4.3,2420,Delivery,Yes,No
Just Bake,Jayanagar,"Bakery, Quick Bites","Bakery, Desserts",400.0,3.8,32,Delivery,No,No
Tandoor Garden,Jayanagar,Quick Bites,"North Indian, Chinese, Kebab",350.0,3.6,71,Delivery,Yes,No
BBQ Ride 46,Jayanagar,Food Truck,BBQ,200.0,3.4,7,Delivery,Yes,No
Patiala House,Jayanagar,"Takeaway, Delivery","North Indian, Rolls, Chinese, Biryani",300.0,3.7,0,Delivery,Yes,No
Sky Juice Corner,Jayanagar,Beverage Shop,Juices,100.0,3.35,0,Delivery,Yes,No
Nanna Munna Paratha House,Jayanagar,Quick Bites,North Indian,300.0,4.0,109,Delivery,Yes,No
Modern Restaurant,Jayanagar,Casual Dining,"North Indian, Chinese",450.0,3.1,18,Delivery,Yes,No
Food Springs,Jayanagar,Quick Bites,"South Indian, Chinese",400.0,4.0,233,Delivery,Yes,No
Royal Paris,Jayanagar,Casual Dining,"North Indian, Arabian, Chinese",1000.0,3.9,68,Delivery,Yes,No
Biriyani Mane,Jayanagar,Quick Bites,"North Indian, Biryani",400.0,3.9,130,Delivery,Yes,No
Cuppa,Jayanagar,"Cafe, Casual Dining","Cafe, Fast Food",550.0,3.2,59,Delivery,No,No
Miss Momo,Jayanagar,Quick Bites,"Tibetan, Momos",250.0,3.2,10,Delivery,Yes,No
The Vacationer's Cafe,Jayanagar,Cafe,"Cafe, Continental, Mexican",600.0,4.1,306,Delivery,Yes,No
Bangalore Donne Biriyani,Jayanagar,Quick Bites,"South Indian, Biryani",300.0,3.2,4,Delivery,Yes,No
Rotti Mane,Jayanagar,Quick Bites,South Indian,200.0,3.7,15,Delivery,No,No
Dilli ??,Jayanagar,Delivery,North Indian,500.0,3.7,0,Delivery,Yes,No
Meal Square,Jayanagar,Delivery,"North Indian, Chinese",600.0,3.4,10,Delivery,Yes,No
Kamat Minerva,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,2.6,72,Delivery,Yes,No
Hotel Food Lands,Jayanagar,Casual Dining,"Seafood, Mangalorean",700.0,3.8,57,Delivery,Yes,No
Gujrati Mess,Jayanagar,Mess,Gujarati,200.0,3.6,18,Delivery,Yes,No
China Town 07,Jayanagar,Quick Bites,"Chinese, Momos",300.0,3.75,0,Delivery,Yes,No
Grills And Tandoor,Jayanagar,Casual Dining,"North Indian, Chinese",900.0,3.7,109,Delivery,Yes,Yes
Oye Amritsar,Jayanagar,Casual Dining,North Indian,600.0,3.8,765,Delivery,Yes,Yes
The Enav Bowl,Jayanagar,Quick Bites,"Healthy Food, Beverages, Mexican, Burger, Italian",300.0,3.8,20,Delivery,No,No
Hyderabad Bawarchi,Jayanagar,Casual Dining,"North Indian, Biryani, Chinese",800.0,3.9,118,Delivery,No,No
Juicemaker,Jayanagar,Quick Bites,"Juices, Fast Food",300.0,3.8,38,Delivery,No,No
Chung Wah,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850.0,3.7,329,Delivery,Yes,No
Zengi Pub & Restaurant,Jayanagar,"Pub, Casual Dining","Finger Food, Continental, Chinese",900.0,3.7,32,Delivery,Yes,No
Rayaan's BBQ,Jayanagar,Quick Bites,"North Indian, BBQ",350.0,3.3,6,Delivery,Yes,No
Davangere Benna Dose Hotel,Jayanagar,Quick Bites,South Indian,100.0,4.1,90,Delivery,Yes,No
Appana Restaurant,Jayanagar,Quick Bites,North Indian,300.0,3.5,11,Delivery,Yes,No
Sri Krishna Sweets,Jayanagar,Sweet Shop,Mithai,100.0,3.4,0,Delivery,No,No
Coffee House,Jayanagar,Quick Bites,"Beverages, Bakery",150.0,3.7,0,Delivery,No,No
1980s Games Cafe,Jayanagar,Cafe,"Cafe, Fast Food",400.0,3.4,58,Delivery,Yes,No
Zhang's - Chinese Restaurant,Jayanagar,Casual Dining,"Chinese, Momos",700.0,4.1,590,Delivery,Yes,No
Dalma,Jayanagar,Casual Dining,Oriya,600.0,3.9,475,Delivery,Yes,No
Biryani Foodies,Jayanagar,Quick Bites,"Biryani, Mughlai",500.0,3.1,7,Delivery,Yes,No
Kanchanjunga Kitchen - The Flavour of Hills,Jayanagar,Quick Bites,"Chinese, Nepalese, Tibetan, Momos",300.0,3.9,0,Delivery,Yes,No
Rakesh Kumar Pani Poori,Jayanagar,Quick Bites,Street Food,100.0,3.6,13,Delivery,No,No
Butter Cup,Jayanagar,Dessert Parlor,"Desserts, Bakery",250.0,3.5,9,Delivery,No,No
Crave Bite,Jayanagar,Quick Bites,"Chinese, Italian, Fast Food, Momos",400.0,3.6,19,Delivery,No,No
Hotel Aradhana,Jayanagar,Quick Bites,North Indian,300.0,3.7,51,Delivery,Yes,No
Priya Restaurant,Jayanagar,Quick Bites,"South Indian, North Indian",250.0,3.6,0,Delivery,No,No
Juice And Joy,Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",150.0,3.95,0,Delivery,No,No
Tandoor And Spice,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Hyderabadi",550.0,4.0,181,Delivery,Yes,No
UNIK Food,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,3.3,4,Delivery,No,No
Baba Ka Dhaba,Jayanagar,Quick Bites,North Indian,400.0,3.7,195,Delivery,Yes,No
Chung's Chinese Corner,Jayanagar,Casual Dining,Chinese,700.0,3.9,224,Delivery,Yes,No
Buff Buffet Buff,Jayanagar,"Casual Dining, Bar","North Indian, Chinese, Continental, Thai, Salad",1500.0,4.5,3151,Delivery,Yes,Yes
Tim Tai,Jayanagar,Casual Dining,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400.0,4.4,3675,Delivery,Yes,Yes
Jalsa,Jayanagar,Casual Dining,"North Indian, Mughlai, Chinese",800.0,4.1,783,Delivery,Yes,Yes
Lakshmi Sweets,Jayanagar,Sweet Shop,Mithai,250.0,3.4,0,Delivery,No,No
Sri Basaveshwara Rotti Oota,Jayanagar,Quick Bites,"South Indian, Fast Food",200.0,3.95,0,Delivery,No,No
Natha & Lobo's,Jayanagar,Casual Dining,"Chinese, North Indian",500.0,3.5,0,Delivery,No,No
Rishab Bhawan,Jayanagar,Quick Bites,"Fast Food, Street Food",150.0,3.8,0,Delivery,No,No
New Biryani Mane,Jayanagar,Quick Bites,"South Indian, Biryani",400.0,3.5,0,Delivery,No,No
The Table,Jayanagar,Bakery,"Bakery, Desserts",400.0,3.9,0,Delivery,No,No
Bengaluru Foodies,Jayanagar,Quick Bites,"North Indian, South Indian",300.0,3.45,0,Delivery,No,No
Aliyar Cafe Sweet Palace,Jayanagar,Quick Bites,"Fast Food, Burger, Rolls, Beverages",250.0,3.7,0,Delivery,No,No
New Sri Udupi Restaurant,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200.0,3.7,0,Delivery,No,No
I-Scoop Cafe,Jayanagar,Quick Bites,"Fast Food, Pizza, Desserts",300.0,3.7,0,Delivery,Yes,No
Fishland Deluxe,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese, Kebab",500.0,3.5,9,Delivery,No,No
The Lounge - Eden Park Restaurants,Jayanagar,Lounge,"North Indian, Afghan",1350.0,3.8,152,Delivery,No,Yes
Al-Marhaba Restaurant,Jayanagar,Quick Bites,"Arabian, Chinese, North Indian, Rolls, Momos",400.0,3.7,0,Delivery,Yes,No
Desi Aahar,Jayanagar,Quick Bites,"North Indian, Chinese, Seafood",400.0,3.3,0,Delivery,No,No
Borah's Kitchen,Jayanagar,Quick Bites,"North Indian, Chinese",250.0,3.3,12,Delivery,Yes,No
Papacream,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",350.0,3.7,17,Delivery,Yes,No
Eat Well,Jayanagar,Delivery,"North Indian, Chinese",400.0,2.9,22,Delivery,Yes,No
Punjabi Raswada,Jayanagar,Casual Dining,North Indian,800.0,3.5,432,Delivery,Yes,Yes
The Yellow Chilli,Jayanagar,Casual Dining,"North Indian, Mughlai, Biryani",1200.0,3.8,584,Delivery,Yes,Yes
Sihi Chocolaterie,Jayanagar,Dessert Parlor,Desserts,300.0,3.7,26,Delivery,No,No
Gundu Pulav,Jayanagar,Quick Bites,Biryani,400.0,3.3,4,Delivery,No,No
MRS Paradise,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese",650.0,3.4,21,Delivery,No,No
Lord of Combos,Jayanagar,Delivery,North Indian,500.0,3.7,0,Delivery,No,No
The Little Kitchen,Jayanagar,Quick Bites,"Chinese, Momos",300.0,3.8,27,Delivery,No,No
